PROVNUM,FACNAME,PHYADDR1,PHYADDR2,PHYCITY,PHYSTATE,PHYZIP,PHONENUM,OWNTYPE,In-center Hemo,in-center PD,ref_id,Lat,Lon
362598,FMC - AKRON EAST,199 PERKINS STREET,,AKRON,OH,44304,3303767600,Profit,Y,Y,362598,41.0854963,-81.5092264
362599,FMC - KNOX COUNTY KIDNEY CENTER,14 WOOD LAKE TRAIL,,MOUNT VERNON,OH,43050,7403931624,Profit,Y,N,362599,40.3961095,-82.4504745
362600,BELDEN COMMUNITY DIALYSIS,4685 FULTON ROAD NW,,CANTON,OH,44718,3306494059,Profit,Y,Y,362600,40.8240327,-81.3956743
362602,FAIRFIELD DIALYSIS,1210 HICKS BLVD,,FAIRFIELD,OH,45014,5139391110,Profit,Y,N,362602,39.34716,-84.539163
362603,CDC - HEATHER HILL,12340 BASSLAKE ROAD,,HEATHER HILL,OH,44024,4402864103,Non-Profit,Y,N,362603,41.5616786,-81.1857736
362604,FMC- ARROWHEAD DIALYSIS CENTER,322 W DUSSEL DRIVE,,MAUMEE,OH,43537,4198912200,Profit,Y,N,362604,41.5836747,-83.6710867
362607,FMC - TOLEDO CENTRAL DIALYSIS,"3100 WEST CENTRAL AVENUE, SUITE 100",,TOLEDO,OH,43606,4195394000,Profit,Y,N,362607,41.678006,-83.6190589
362608,FAIRFIELD HOME TRAINING DIALYSIS,1210 HICKS BLVD,,FAIRFIELD,OH,45014,5139391120,Profit,N,Y,362608,39.34716,-84.539163
362609,FMC - WESTLAKE DIALYSIS CENTER,26024 DETROIT ROAD,,WESTLAKE,OH,44145,4408351139,Profit,Y,Y,362609,41.470332,-81.908557
362610,ROCKY RIVER DIALYSIS,"20220 CENTER RIDGE ROAD, STE 50",,ROCKY RIVER,OH,44116,4403565744,Profit,Y,Y,362610,41.464543,-81.845578
362611,WINTON ROAD DIALYSIS,6550 WINTON ROAD,,CINCINNATI,OH,45224,5135912900,Profit,Y,N,362611,39.2014074,-84.5208261
362612,CDC - CANFIELD,3695 STUTZ DRIVE,,CANFIELD,OH,44406,3307023040,Non-Profit,Y,N,362612,41.0224307,-80.7136769
362613,DSI - SUMMIT RENAL CARE,73 MASSILLON ROAD,,AKRON,OH,44312,3307331861,Profit,Y,Y,362613,41.060265,-81.462232
362614,LAKE COUNTY DIALYSIS,1963 HUBBARD ROAD,,MADISON,OH,44057,4404286877,Profit,Y,Y,362614,41.8206633,-81.0485306
362616,FMCNA - REGENCY,2000 REGENCY MANOR CIRCLE  SUITE 100,,COLUMBUS,OH,43207,6144435500,Profit,Y,N,362616,39.9350301,-82.9431289
362617,FMC - STREETSBORO KIDNEY CENTER,"9200 STAPLES DRIVE, STE A",,STREETSBORO,OH,44241,3304220160,Profit,Y,N,362617,41.2416578,-81.3523898
362618,FMC - BOARDMAN DIALYSIS,257 BOARDMAN-CANFIELD RD.,,BOARDMAN,OH,44512,3306298856,Profit,Y,N,362618,41.024412,-80.6715925
362619,FMC - RICHLAND COUNTY,680 BALLY ROW,,MANSFIELD,OH,44906,4197740180,Profit,Y,N,362619,40.7408516,-82.5504373
362620,DAVITA - PARMA DIALYSIS,6735 AMES ROAD,,PARMA,OH,44129,4407430690,Profit,Y,N,362620,41.3813488,-81.7468372
362621,DCI - WESTERN HILLS,6432 GLENWAY AVENUE,,CINCINNATI,OH,45211,5135989050,Non-Profit,Y,N,362621,39.1483194,-84.6273791
362622,DAVITA - SENECA  DIALYSIS LLC.,65 ST FRANCIS AVENUE,,TIFFIN,OH,44883,4194477283,Profit,Y,N,362622,41.0980619,-83.17263
362623,DSI - WHITE PONDS,534 WHITE POND DRIVE STE A,,AKRON,OH,44320,3308731150,Profit,Y,N,362623,41.102473,-81.588533
362624,WILDWOOD DIALYSIS CENTER,2249 NORTH REYNOLDS ROAD,,TOLEDO,OH,43615,4195357415,Profit,Y,N,362624,41.6633803,-83.6678056
362625,FMC - DIALYSIS SERVICES - CAMPUS,456 W. 10TH AVE. SUITE 1410,,COLUMBUS,OH,43210,6142936493,Profit,Y,Y,362625,0,0
362626,FMC - COLUMBUS SOUTHSIDE DIALYSIS CENTER,"3700  S. HIGH ST., SUITE 163",,COLUMBUS,OH,43207,6144099880,Profit,Y,N,362626,39.8856142,-82.9992168
362627,"FMC - GREATER COLUMBUS REGIONAL DIALYSIS, LLC","285 E. STATE ST., SUITE 170",,COLUMBUS,OH,43215,6142289114,Profit,Y,Y,362627,39.9606629,-82.992479
362628,WESTERN HILLS DIALYSIS,3267 WESTBOURNE AVE.,,CINCINNATI,OH,45248,5133470444,Profit,Y,N,362628,39.145724,-84.629564
362629,COLUMBUS EAST DIALYSIS,299 OUTERBELT STREET,,COLUMBUS,OH,43213,6145017224,Profit,Y,N,362629,39.987012,-82.83127
362630,US RENAL CARE OF BOWLING GREEN,"1037 CONNEAUT STREET, SUITE 101",,BOWLING GREEN,OH,43402,4193531080,Profit,Y,Y,362630,41.3789207,-83.6684455
362631,FREMONT DIALYSIS CENTER,2400 ENTERPRISE DRIVE,,FREMONT,OH,43420,4193329104,Profit,Y,N,362631,41.3792683,-83.114763
362632,FMC - NORTH LIMA,9174 MARKET STREET,,NORTH LIMA,OH,44452,3307299061,Profit,Y,N,362632,40.9859045,-80.6627961
362633,SILVERTON DIALYSIS,6929 SILVERTON AVENUE,,CINCINNATI,OH,45236,5137930555,Profit,Y,N,362633,39.1945971,-84.3996108
