"Provider Number","Hospital Name","Address1","Address2","Address3","City","State","ZIP Code","County Name","Phone Number","Hospital Type","Hospital Ownership","Emergency Service","GeoProviderId","Lat","Lon"
"10001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","","","DOTHAN","AL","36302","HOUSTON","3347938701","Acute Care Hospitals","Government - Hospital District or Authority","Yes","10001","31.2167252","-85.3630676"
"10005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","","","BOAZ","AL","35957","MARSHALL","2565938310","Acute Care Hospitals","Government - Hospital District or Authority","Yes","10005","34.209476","-86.155195"
"10006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","","","FLORENCE","AL","35631","LAUDERDALE","2567688400","Acute Care Hospitals","Government - Hospital District or Authority","No","10006","34.7951086","-87.6850917"
"10007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","","","OPP","AL","36467","COVINGTON","3344933541","Acute Care Hospitals","Voluntary non-profit - Private","No","10007","31.2890459","-86.2554985"
"10008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","","","LUVERNE","AL","36049","CRENSHAW","3343353374","Acute Care Hospitals","Government - Federal","Yes","10008","31.7165455","-86.2638492"
"10009","HARTSELLE MEDICAL CENTER","201 PINE STREET NORTHWEST","","","HARTSELLE","AL","35640","MORGAN","2567736511","Acute Care Hospitals","Proprietary","Yes","10009","34.4459529","-86.9358086"
"10010","MARSHALL MEDICAL CENTER NORTH","8000 ALABAMA HIGHWAY 69","","","GUNTERSVILLE","AL","35976","MARSHALL","2565718000","Acute Care Hospitals","Government - Hospital District or Authority","Yes","10010","34.3636496","-86.4204476"
"10011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","","","BIRMINGHAM","AL","35235","JEFFERSON","2058383122","Acute Care Hospitals","Voluntary non-profit - Private","Yes","10011","33.5961576","-86.6675006"
"10012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","","","FORT PAYNE","AL","35968","DE KALB","2568453150","Acute Care Hospitals","Voluntary non-profit - Church","Yes","10012","34.4384551","-85.7557444"
"10015","SOUTHWEST ALABAMA MEDICAL CENTER","33700 HIGHWAY 43","","","THOMASVILLE","AL","36784","CLARKE","3346366221","Acute Care Hospitals","Government - Federal","Yes","10015","31.9461274","-87.738471"
"10016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","","","ALABASTER","AL","35007","SHELBY","2056208100","Acute Care Hospitals","Voluntary non-profit - Church","Yes","10016","33.256073","-86.810348"
"10018","CALLAHAN EYE FOUNDATION HOSPITAL","1720 UNIVERSITY BLVD","","","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Acute Care Hospitals","Voluntary non-profit - Private","Yes","10018","33.503775","-86.802506"
"10019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","","","SHEFFIELD","AL","35660","COLBERT","2563864556","Acute Care Hospitals","Government - Hospital District or Authority","Yes","10019","34.7464918","-87.6991777"
"10021","DALE MEDICAL CENTER","126 HOSPITAL AVE","","","OZARK","AL","36360","DALE","3347742601","Acute Care Hospitals","Government - Hospital District or Authority","Yes","10021","31.451328","-85.632075"
"10022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","","","CENTRE","AL","35960","CHEROKEE","2569275531","Acute Care Hospitals","Voluntary non-profit - Private","Yes","10022","34.1627382","-85.6513665"
"10023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","","","MONTGOMERY","AL","36116","MONTGOMERY","3342882100","Acute Care Hospitals","Voluntary non-profit - Church","Yes","10023","32.3269423","-86.2710252"
"10024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","","","MONTGOMERY","AL","36106","MONTGOMERY","3342938000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","10024","32.3665566","-86.2857204"
"10025","G H LANIER MEMORIAL HOSPITAL","4800 48TH ST","","","VALLEY","AL","36854","CHAMBERS","3347561400","Acute Care Hospitals","Voluntary non-profit - Other","Yes","10025","32.8237765","-85.1701853"
"10027","ELBA GENERAL HOSPITAL","987 DRAYTON STREET","","","ELBA","AL","36323","COFFEE","3348972257","Acute Care Hospitals","Voluntary non-profit - Other","Yes","10027","31.4292568","-86.0763669"
"10029","EAST ALABAMA MEDICAL CENTER AND SNF","2000 PEPPERELL PARKWAY","","","OPELIKA","AL","36801","LEE","3347493411","Acute Care Hospitals","Government - Hospital District or Authority","Yes","10029","32.6380677","-85.4041261"
"10032","WEDOWEE HOSPITAL","209 NORTH MAIN STREET","","","WEDOWEE","AL","36278","RANDOLPH","2563572111","Acute Care Hospitals","Government - Local","No","10032","33.3166323","-85.4874426"
"10033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","","","BIRMINGHAM","AL","35233","JEFFERSON","2059344011","Acute Care Hospitals","Government - State","Yes","10033","33.5061925","-86.8018964"
"10034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","","","TALLASSEE","AL","36078","ELMORE","3342836541","Acute Care Hospitals","Voluntary non-profit - Private","Yes","10034","32.534053","-85.912363"
