Provider Number,Condition,Score
10001,Hospital Process of Care Measures,N/A
10005,Hospital Process of Care Measures,38
10006,Hospital Process of Care Measures,N/A
10007,Hospital Process of Care Measures,24
10008,Hospital Process of Care Measures,N/A
10009,Hospital Process of Care Measures,27
10010,Hospital Process of Care Measures,30
10011,Hospital Process of Care Measures,N/A
10012,Hospital Process of Care Measures,24
10015,Hospital Process of Care Measures,95
10016,Hospital Process of Care Measures,N/A
10018,Hospital Process of Care Measures,N/A
10019,Hospital Process of Care Measures,N/A
10021,Hospital Process of Care Measures,44
10022,Hospital Process of Care Measures,62
10023,Hospital Process of Care Measures,N/A
10024,Hospital Process of Care Measures,N/A
10025,Hospital Process of Care Measures,44
10027,Hospital Process of Care Measures,54
10029,Hospital Process of Care Measures,N/A
10032,Hospital Process of Care Measures,41
10033,Hospital Process of Care Measures,N/A
10034,Hospital Process of Care Measures,44
10035,Hospital Process of Care Measures,22
10036,Hospital Process of Care Measures,26
10038,Hospital Process of Care Measures,N/A
10039,Hospital Process of Care Measures,N/A
10040,Hospital Process of Care Measures,N/A
10043,Hospital Process of Care Measures,18
10044,Hospital Process of Care Measures,25
10045,Hospital Process of Care Measures,66
10046,Hospital Process of Care Measures,N/A
10047,Hospital Process of Care Measures,N/A
10049,Hospital Process of Care Measures,21
10050,Hospital Process of Care Measures,23
10051,Hospital Process of Care Measures,N/A
10052,Hospital Process of Care Measures,10
10054,Hospital Process of Care Measures,N/A
10055,Hospital Process of Care Measures,N/A
10056,Hospital Process of Care Measures,N/A
10058,Hospital Process of Care Measures,N/A
10059,Hospital Process of Care Measures,22
10061,Hospital Process of Care Measures,N/A
10062,Hospital Process of Care Measures,62
10065,Hospital Process of Care Measures,170
10066,Hospital Process of Care Measures,N/A
10069,Hospital Process of Care Measures,76
10073,Hospital Process of Care Measures,66
10078,Hospital Process of Care Measures,48
10079,Hospital Process of Care Measures,17
10083,Hospital Process of Care Measures,N/A
10085,Hospital Process of Care Measures,75
10086,Hospital Process of Care Measures,34
10087,Hospital Process of Care Measures,N/A
10089,Hospital Process of Care Measures,23
10090,Hospital Process of Care Measures,N/A
10091,Hospital Process of Care Measures,110
10092,Hospital Process of Care Measures,N/A
10095,Hospital Process of Care Measures,N/A
10097,Hospital Process of Care Measures,N/A
10099,Hospital Process of Care Measures,24
10100,Hospital Process of Care Measures,N/A
10101,Hospital Process of Care Measures,27
10102,Hospital Process of Care Measures,N/A
10103,Hospital Process of Care Measures,N/A
10104,Hospital Process of Care Measures,N/A
10108,Hospital Process of Care Measures,N/A
10109,Hospital Process of Care Measures,N/A
10110,Hospital Process of Care Measures,N/A
10112,Hospital Process of Care Measures,N/A
10113,Hospital Process of Care Measures,N/A
10114,Hospital Process of Care Measures,56
10118,Hospital Process of Care Measures,N/A
10120,Hospital Process of Care Measures,25
